cd_linha	trip_id	dc_itinerario_longo	
33315	1756-10-1	PEDRA BRANCA	
33316	1757-10-1	CONJ. DOS BANCARIOS	
548	1757-10-0	METRO SANTANA - CIRCULAR	
552	1758-10-0	METRO SANTANA	
33320	1758-10-1	JD. ANTARTICA	
2101	1758-51-0	TERMINAL AMARAL GURGEL	
34869	1758-51-1	JARDIM ANTARTICA	
33321	1759-10-1	JD. PERY	
553	1759-10-0	METRO SANTANA	
554	1759-21-0	METRO SANTANA	
33322	1759-21-1	AV. PERI RONCHETTI	
33323	1759-41-1	JD. PERY	
555	1759-41-0	METRO SANTANA	
675	175P-10-0	ANA ROSA	
33443	175P-10-1	METRÔ SANTANA	
33391	175T-10-1	METRÔ SANTANA	
623	175T-10-0	METRO JABAQUARA	
557	1760-10-0	SHOP. CENTER NORTE	
33325	1760-10-1	COHAB ANTARTICA	
34598	1760-41-1	UNIP - VILA GUILHERME	
1830	1760-41-0	COHAB ANTÁRTICA	
625	1764-10-0	METRO SANTANA	
33393	1764-10-1	JD. CORISCO	
1938	1764-41-0	METRÔ PARADA INGLESA	
34706	1764-41-1	CEMIT. PQ. DA CANTAREIRA	
1782	1765-10-0	METRÔ TUCURUVI	
34550	1765-10-1	JD. CABUÇU	
33395	1766-10-1	JD. CABUÇU	
627	1766-10-0	METRO SANTANA	
628	1767-10-0	METRÔ TUCURUVI	
33396	1767-10-1	EDU CHAVES	
33397	1767-51-1	EDU CHAVES	
629	1767-51-0	TERM. BANDEIRA	
634	1771-10-0	METRO SANTANA	
33402	1771-10-1	VILA ZILDA	
2047	1771-21-0	METRÔ TUCURUVI	
34815	1771-21-1	JD. FONTALIS	
33403	1772-10-1	JD. FILHOS DA TERRA	
635	1772-10-0	METRO TUCURUVI	
2048	1772-31-0	RECANTO VERDE	
34816	1772-31-1	METRÔ TUCURUVI	
33404	1772-51-1	JD. FILHOS DA TERRA	
636	1772-51-0	LGO. DA CONCORDIA	
637	1773-10-0	MANDAQUI	
33405	1773-10-1	CEM.PQ.DOS PINHEIROS	
1936	1773-41-0	METRÔ TUCURUVI	
34704	1773-41-1	VILA AYROSA	
638	1775-10-0	CENTER NORTE	
33406	1775-10-1	VILA ALBERTINA	
34557	1778-10-1	JAÇANÂ	
1789	1778-10-0	METRÔ SANTANA	
1790	1778-51-0	PCA. DO CORREIO	
34558	1778-51-1	CEM. PQ. DOS PINHEIROS	
33398	177H-10-1	METRÔ SANTANA	
630	177H-10-0	BUTANTA - USP	
631	177H-21-0	PINHEIROS	
33399	177H-21-1	METRÔ SANTANA	
33401	177P-10-1	CASA VERDE	
633	177P-10-0	METRÔ BUTANTA - CIRCULAR	
866	177X-10-0	METRO VILA MADALENA	
33634	177X-10-1	JD. PERY ALTO	
33635	177Y-10-1	METRÔ BARRA FUNDA	
867	177Y-10-0	 TERMINAL PINHEIROS	
869	1780-10-0	TERM. PARADA INGLESA	
33637	1780-10-1	JD. HEBRON	
33411	1782-10-1	VILA NOVA GALVAO	
643	1782-10-0	METRO SANTANA - CIRCULAR	
1930	1782-31-0	SANTANA	
34698	1782-31-1	VILA NOVA GALVAO	
644	1783-10-0	METRO SANTANA	
33412	1783-10-1	CACHOEIRA	
2007	1783-21-0	METRÔ TUCURUVI (Circular)	
34775	1783-21-1	CACHOEIRA	
34814	1783-22-1	JD. LABITARY	
2046	1783-22-0	METRO SANTANA	
1939	1783-41-0	METRÔ PARADA INGLESA	
34707	1783-41-1	JD. LABITARY	
645	1783-51-0	CACHOEIRA-DIB	
33413	1783-51-1	CIRCULAR	
33414	1783-52-1	CACHOEIRA	
646	1783-52-0	PCA. DO CORREIO	
1816	1785-10-0	METRÔ SANTANA	
34584	1785-10-1	VILA AURORA	
33417	1786-10-1	VILA ALBERTINA	
649	1786-10-0	METRO SANTANA	
650	1787-10-0	METRO SANTANA	
33418	1787-10-1	VILA MARIETA	
33421	1788-10-1	JD. FONTALIS	
653	1788-10-0	METRO SANTANA	
654	1788-51-0	METRO SANTANA	
33422	1788-51-1	JD. CAMPO LIMPO	
33423	1789-10-1	RECANTO VERDE	
655	1789-10-0	METRO  SANTANA	
558	178A-10-0	LAPA	
33326	178A-10-1	METRÔ SANTANA	
33328	178L-10-1	LAUZANE PAULISTA	
560	178L-10-0	HOSP. DAS CLINICAS	
562	178L-22-0	METRO SANTANA	
33330	178L-22-1	LAUZANE PAULISTA	
33333	178T-10-1	METRO SANTANA	
565	178T-10-0	CEASA	
868	178Y-10-0	METRO JD. SAO PAULO	
33636	178Y-10-1	VILA AMELIA	
33448	179X-10-1	JD. FONTALIS	
680	179X-10-0	METRÔ BARRA FUNDA	
34903	199D-10-1	VILA IORIO	
2135	199D-10-0	TERMINAL PINHEIROS	
710	2001-10-0	TERM. PQ. D. PEDRO II	
33478	2001-10-1	TERM. AMARAL GURGEL	
33479	2002-10-1	TERM. PQ. D.PEDRO II	
711	2002-10-0	TERM. BANDEIRA	
892	2004-10-0	EST. CPTM GUAIANAZES	
33660	2004-10-1	JD. NSA. SRA. DO CAMINHO	
33661	2005-10-1	JD. ROMANO	
893	2005-10-0	SAO MIGUEL (CIRC.)	
895	2006-10-0	EST. CPTM ITAIM PAULISTA	
33663	2006-10-1	CIDADE KEMEL I	
34285	2006-51-1	TERMINAL A. E. CARVALHO	
1517	2006-51-0	CID. KEMEL (CIRCULAR)	
896	2007-10-0	SAO MIGUEL	
33664	2007-10-1	CIDADE KEMEL II	
34601	2007-21-1	ESTAÇÃO CPTM ITAIM	
1833	2007-21-0	CIDADE KEMEL II	
897	2008-10-0	ESTACAO ITAIM	
33665	2008-10-1	JD. NSA.SRA. CAMINHO	
34293	2008-41-1	JD. MIRIAM	
1525	2008-41-0	ITAIM PAULISTA	
898	2009-10-0	GUAIANAZES	
33666	2009-10-1	JD. ROBRU	
2104	2010-10-0	METRÔ TIETÊ (Circular)	
34872	2010-10-1	JARDIM BRASIL	
2126	2010-21-0	METRÔ SANTANA	
34894	2010-21-1	JD. BRASIL	
2105	2010-31-0	METRÔ CARANDIRU	
34873	2010-31-1	PQ. EDU CHAVES	
34904	2011-10-1	EDU CHAVES	
2136	2011-10-0	METRÔ SANTANA	
902	2016-10-0	SAO MIGUEL	
33670	2016-10-1	JD. DAS OLIVEIRAS	
33671	2017-10-1	JD. ROBRU	
903	2017-10-0	SAO MIGUEL (CIRC.)	
904	2018-10-0	SAO MIGUEL(CIRCULAR)	
33672	2018-10-1	JD. CAMPOS	
33673	2019-10-1	PQ. PAINEIRAS	
905	2019-10-0	SHOPPING PENHA	
906	2021-10-0	ESTACAO GUAIANAZES	
33674	2021-10-1	JD. BANDEIRANTES	
33132	2022-10-1	JD. DOS IPES	
364	2022-10-0	TERM. A.E. CARVALHO	
365	2022-51-0	PQ. D. PEDRO II	
33133	2022-51-1	JD. DOS IPES	
33135	2031-10-1	CIDADE KEMEL II	
367	2031-10-0	TERM. A.E. CARVALHO	
204	2041-10-0	TERM. PENHA	
32972	2041-10-1	VILA NOVA SILVIA	
33027	2058-10-1	TERM. SAO MIGUEL	
259	2058-10-0	GUAIANAZES	
260	2059-10-0	GUAIANAZES	
33028	2059-10-1	SAO MIGUEL	
32902	2060-10-1	TERM. A.E. CARVALHO	
134	2060-10-0	METRO ARTUR ALVIM	
368	2076-10-0	TERM. PENHA	
33136	2076-10-1	JD. OLIVEIRAS	
33137	2078-10-1	JD. DAS OLIVEIRAS	
369	2078-10-0	TERM. SÃO MIGUEL	
370	2079-10-0	ESTAÇÃO ITAIM PAULISTA (circular)	
33138	2079-10-1	JD. NELIA	
33139	2080-10-1	CID. KEMEL	
371	2080-10-0	TERM. ARICANDUVA	
1843	2080-21-0	TERM. SÃO MIGUEL	
34611	2080-21-1	CID. KEMEL	
33140	2088-10-1	CONJ. ENCOSTA NORTE	
372	2088-10-0	TERM. A.E. CARVALHO	
205	208A-10-0	METRÔ CARRÃO	
32973	208A-10-1	PENHA	
32975	208V-10-1	TERM. A.E.CARVALHO	
207	208V-10-0	PQ. D. PEDRO II	
209	208V-51-0	TERM. AMARAL GURGEL	
32977	208V-51-1	TERM. A. E. CARVALHO	
2103	209C-10-0	VILA MADALENA	
34871	209C-10-1	METRÔ SANTANA	
33481	2100-10-1	TERM. VILA CARRÃO	
713	2100-10-0	PCA. DA SÉ	
714	2101-10-0	PÇA. DA SÉ	
33482	2101-10-1	PÇA. SILVIO ROMERO	
33483	2101-41-1	PÇA. SILVIO ROMERO	
715	2101-41-0	VILA PRUDENTE	
2102	2103-10-0	PCA. DO CORREIO	
34870	2103-10-1	JD. BRASIL	
33141	211R-10-1	JD. DAS OLIVEIRAS	
373	211R-10-0	ESTAÇÃO DA LUZ	
1847	211R-21-0	TERM. A. E. CARVALHO	
34615	211R-21-1	CIDADE KEMEL	
32922	211V-10-1	VILA PARANAGUA	
154	211V-10-0	ESTAÇÃO DA LUZ	
692	2123-10-0	METRO LIBERDADE	
33460	2123-10-1	VILA MEDEIROS	
33461	2127-10-1	JD. BRASIL	
693	2127-10-0	METRO LIBERDADE	
907	213C-10-0	VILA CALIFORNIA	
33675	213C-10-1	ITAIM PAULISTA	
33676	213C-31-1	ITAIM PAULISTA	
908	213C-31-0	VILA CALIFORNIA	
694	2161-10-0	PRAÇA DO CORREIO 	
33462	2161-10-1	PARQUE EDU CHAVES	
33463	2171-10-1	VILA SABRINA	
695	2171-10-0	PQ. D.PEDRO II	
697	2175-10-0	PÇA. DA SÉ	
33465	2175-10-1	JD. GUANCA	
34465	2175-31-1	JD. GUANCA	
1697	2175-31-0	PÇA. DA SÉ	
700	2182-10-0	PRAÇA DO CORREIO	
33468	2182-10-1	JARDIM BRASIL	
33717	2191-10-1	SHOP. C.L.ARICANDUVA	
949	2191-10-0	TERM. PQ. D.PEDRO II	
909	2201-10-0	GUAIANAZES	
33677	2201-10-1	DIVISA DE FERRAZ	
33678	2202-10-1	HOSPITAL ITAIM	
910	2202-10-0	GUAIANAZES	
911	2203-10-0	SHOPPING PENHA	
33679	2203-10-1	BURGO PAULISTA	
33486	2290-10-1	TERM. SÃO MATEUS	
718	2290-10-0	TERM. PQ. D. PEDRO II	
1881	2290-21-0	TERM. PQ. D. PEDRO II	
34649	2290-21-1	SÃO MATEUS	
33487	2291-10-1	TERM. SÃO MATEUS	
719	2291-10-0	PÇA. DA REPÚBLICA	
952	2296-10-0	TERM. PQ. D.PEDRO II	
33720	2296-10-1	JD. MARILIA	
33017	233A-10-1	JD. HELENA	
249	233A-10-0	CERET	
155	233C-10-0	CERET	
32923	233C-10-1	TERM. A.E. CARVALHO	
32924	234A-10-1	TERM. A.E. CARVALHO	
156	234A-10-0	JD. HELENA	
135	2363-10-0	TERMINAL PQ. D. PEDRO II	
32903	2363-10-1	JD. DANFER	
3030	23MA-21-0		
35798	23MA-21-1		
