cd_linha	trip_id	dc_itinerario_longo	
243	2770-10-0	METRO VILA MATILDE	
398	2772-10-0	METRO PENHA	
33166	2772-10-1	JD. NAZARE	
33167	2780-10-1	JD. CAMARGO NOVO	
399	2780-10-0	METRO ITAQUERA	
706	278A-10-0	PENHA  	
33474	278A-10-1	METRÔ SANTANA	
34901	297A-10-1	LIMÃO	
2133	297A-10-0	METRO BARRA FUNDA	
1650	3001-10-0	TERM. SÃO MIGUEL	
34418	3001-10-1	ITAIM PAULISTA	
34576	3002-10-1	JD. MABEL	
1808	3002-10-0	SAO MIGUEL	
1797	3003-10-0	CPTM VILA MARA/ITAIM (circular)	
34565	3003-10-1	JD. SÃO MARTINHO	
34566	3004-10-1	JD. SÃO MARTINHO  	
1798	3004-10-0	CPTM VILA MARA/ITAIM (circular)	
1865	3006-10-0	ESTAÇÃO CPTM GUAIANAZES (CIRC.)	
34633	3006-10-1	JD. FANGANIELO	
33722	3013-10-1	TERM. CID.TIRADENTES	
954	3013-10-0	METALURGICOS	
957	3019-10-0	VILA PAULISTA I	
33725	3019-10-1	TERM. CID.TIRADENTES	
33726	3020-10-1	V. COSMOPOLITA	
958	3020-10-0	SHOP.C.L. ARICANDUVA	
1348	3020-31-0	SHOP.C.L. ARICANDUVA	
34116	3020-31-1	CONJ. JOSE BONIFACIO	
33044	3021-10-1	PQ. BANCARIO	
276	3021-10-0	VILA PRUDENTE	
960	3023-10-0	SHOP. ARICANDUVA	
33728	3023-10-1	PQ. SAO RAFAEL	
33045	3024-10-1	VILA INDUSTRIAL	
277	3024-10-0	VILA PRUDENTE	
961	3025-10-0	EST. GUAIANAZES-CPTM	
33729	3025-10-1	JD. WILMA FLOR	
33730	3026-10-1	VILA IOLANDA II	
962	3026-10-0	EST.GUAIANAZES-CPTM	
963	3027-10-0	SHOP. ARICANDUVA	
33731	3027-10-1	VILA MINERVA	
33734	3029-10-1	JD. DAS ROSAS	
966	3029-10-0	METRO TATUAPE	
967	3031-10-0	METRÔ ITAQUERA	
33735	3031-10-1	JD. ALTO PAULISTANO	
33488	3032-10-1	TERM. VILA CARRÃO	
720	3032-10-0	CIRCULAR	
968	3033-10-0	SAO MATEUS	
33736	3033-10-1	GUAIANAZES	
34381	3033-41-1	TERM. SAO MATEUS	
1613	3033-41-0	PQ. BOA ESPERANÇA	
971	3046-10-0	TATUAPE	
33739	3046-10-1	VILA GUARANI	
33741	3053-10-1	JD. ITAPOLIS	
973	3053-10-0	METRO BELEM	
975	3054-10-0	HOSP. SAPOPEMBA	
33743	3054-10-1	JD. PALANQUE	
33490	3056-10-1	JD. DA CONQUISTA	
722	3056-10-0	TERM. SAO MATEUS	
979	3059-10-0	TERM. SÃO MATEUS	
33747	3059-10-1	VILA YOLANDA	
33492	3060-10-1	JD. SANTO ANDRE	
724	3060-10-0	TERM. SAO MATEUS	
253	3063-10-0	TERM. SAO MATEUS	
33021	3063-10-1	GUAIANAZES	
33022	3063-41-1	GUAIANAZES	
254	3063-41-0	TERM. SAO MATEUS	
980	3064-10-0	EST. GUAIANAZES-CPTM	
33748	3064-10-1	CID. TIRADENTES	
1933	3064-41-0	SANTA ETELVINA II B6	
34701	3064-41-1	TERM. CID. TIRADENTES	
981	3065-10-0	TERM. SAO MATEUS	
33749	3065-10-1	CID. TIRADENTES	
33751	3066-10-1	TERM. CID.TIRADENTES	
983	3066-10-0	VILA YOLANDA	
984	3069-10-0	TERM. SAO MATEUS	
33752	3069-10-1	JD.RECANTO VERDE SOL	
33496	3070-10-1	JD. LIMOEIRO	
728	3070-10-0	TERM. SÃO MATEUS	
34882	307C-10-1	CONJ.ENCOSTA NORTE	
2114	307C-10-0	METRO ARTUR ALVIM	
33846	3098-10-1	JARDIM SAO FRANCISCO	
1078	3098-10-0	SHOP. ARICANDUVA	
1839	3098-31-0	SHOP. ARICANDUVA (via Jd. Elisabeth)	
34607	3098-31-1	JARDIM SAO FRANCISCO 	
33847	3099-10-1	HOSPITAL SAO MATEUS	
1079	3099-10-0	JD. DA CONQUISTA	
986	309N-10-0	TERM. PQ. D. PEDRO II	
33754	309N-10-1	JD. IV CENTENÁRIO	
33498	309T-10-1	CIDADE TIRADENTES	
730	309T-10-0	TERM. PRINC. ISABEL	
731	309T-22-0	TERM.PRINC. ISABEL	
33499	309T-22-1	TERM. CID. TIRADENTES	
33500	309T-23-1	JD. IGUATEMI	
732	309T-23-0	TERM. PRINC. ISABEL 	
1080	3112-10-0	METRO BELEM	
33848	3112-10-1	VILA INDUSTRIAL	
33077	311C-10-1	PQ. SAO LUCAS	
309	311C-10-0	BOM RETIRO	
991	3124-10-0	TERM. PQ. D. PEDRO II	
33759	3124-10-1	COHAB FAZENDA DO CARMO	
33760	3129-10-1	CJ. MANOEL DA NOBREGA	
992	3129-10-0	TERM. PQ.D. PEDRO II	
990	312N-10-0	SÃO MIGUEL PAULISTA	
33758	312N-10-1	TERM. CID. TIRADENTES	
33023	312T-10-1	GUAIANAZES	
255	312T-10-0	LGO. DA CONCORDIA	
1479	312T-51-0	PQ. D.PEDRO II	
34247	312T-51-1	GUAIANAZES	
33761	3134-10-1	SHOP. ARICANDUVA	
993	3134-10-0	METRÔ TAMANDUATEÍ	
995	3139-10-0	PÇA JOÃO MENDES 	
33763	3139-10-1	JD. VILA FORMOSA	
34417	3139-31-1	JD. VILA FORMOSA	
1649	3139-31-0	PRAÇA DA REPÚBLICA	
734	3141-10-0	TERM. PQ. D.PEDRO II	
33502	3141-10-1	TERM. SAO MATEUS	
33503	3141-51-1	VILA ESTER	
735	3141-51-0	TERM. PQ.D. PEDRO II	
310	314J-10-0	METRO LIBERDADE	
33078	314J-10-1	SANTA MADALENA	
33079	314V-10-1	VILA EMA	
311	314V-10-0	METRO LIBERDADE	
125	3160-10-0	TERM. PQ. D. PEDRO II	
32893	3160-10-1	TERM. VILA PRUDENTE	
33852	3161-10-1	JD. COLORADO	
1084	3161-10-0	TERM. PQ. D.PEDRO II	
2151	3161-21-0	MOOCA	
34919	3161-21-1	JD. COLORADO	
312	319F-10-0	ESTAÇÃO DA LUZ	
33080	319F-10-1	SANTA CLARA	
2110	3204-10-0	TERM. ARICANDUVA	
34878	3204-10-1	JD. LISBOA	
34879	3205-10-1	JD. CAMARGO VELHO	
2111	3205-10-0	TERM. SÃO MIGUEL	
2112	3206-10-0	CONJ. CHAPARRAL	
34880	3206-10-1	METRO PENHA	
33766	3222-10-1	JD. MARILIA	
998	3222-10-0	TERM. PQ. D.PEDRO II	
1618	3301-10-0	TERM. PQ. D. PEDRO ll	
34386	3301-10-1	TERM. SÃO MIGUEL	
33505	3303-10-1	PRESTES MAIA	
737	3303-10-0	TERM. PQ. D.PEDRO II	
256	3306-10-0	PQ. D. PEDRO II	
33024	3306-10-1	ITAQUERA	
34326	3309-10-1	VILA CARRÃO	
1558	3309-10-0	CCPD-RAUL TABAJARA	
146	3310-10-0	CIDADE TIRADENTES (CIRCULAR)	
32914	3310-10-1	TERM. AMARAL GURGEL	
34329	331T-10-1	JD. HELENA	
1561	331T-10-0	CCPD RAUL TABAJARA	
1000	3354-10-0	TERM. PQ. D.PEDRO II	
33768	3354-10-1	JD. COLONIAL	
33506	3390-10-1	TERM. SÃO MATEUS	
738	3390-10-0	TERM. PQ. D.PEDRO II	
740	3391-10-0	TERM. PQ. D.PEDRO II	
33508	3391-10-1	TERM. SÃO MATEUS	
33509	3391-31-1	TERM. SÃO MATEUS	
741	3391-31-0	TERM. PQ. D.PEDRO II	
1862	3391-32-0	Cambuci	
34630	3391-32-1	Term. São Mateus	
33510	3406-10-1	COHAB JUSCELINO	
742	3406-10-0	TERM. PQ. D.PEDRO II	
743	3407-10-0	TERM. PQ. D.PEDRO II	
33511	3407-10-1	INÁCIO MONTEIRO	
33513	3409-10-1	INÁCIO MONTEIRO	
745	3409-10-0	TERM. PQ.D. PEDRO II	
746	3414-10-0	TERM. PQ. D.PEDRO II	
33514	3414-10-1	VILA DALILA	
1923	3414-21-0	METRÔ TATUAPÉ	
34691	3414-21-1	VILA DALILA	
1001	342A-10-0	TERM. PENHA	
33769	342A-10-1	EST. JOSÉ BONIFÁCIO	
33770	342C-10-1	JD. MARILIA	
1002	342C-10-0	PENHA	
747	342M-10-0	TERM. PENHA	
33515	342M-10-1	TERM. SÃO MATEUS	
33771	342N-10-1	Cohab Pres. Juscelino Kubitscheck	
1003	342N-10-0	A. E. Carvalho	
402	3459-10-0	TERM. PQ. D.PEDRO II	
33170	3459-10-1	ITAIM PAULISTA	
33171	3459-21-1	CEMITERIO DA SAUDADE	
403	3459-21-0	TERM. PQ. D.PEDRO II	
404	3459-23-0	ITAIM PAULISTA	
33172	3459-23-1	METRO BRESSER	
34495	3459-24-1	ITAIM PAULISTA	
1727	3459-24-0	TERM. PQ. D. PEDRO II	
247	3462-10-0	TERM. PQ. D.PEDRO II	
33015	3462-10-1	VILA SANTANA	
33016	3462-41-1	JD. VILA NOVA	
248	3462-41-0	TERM. PQ.D. PEDRO II	
687	351F-10-0	TERM. VILA CARRAO	
33455	351F-10-1	JACANA	
1935	351F-41-0	PQ. NOVO MUNDO	
34703	351F-41-1	JACANA	
164	352A-10-0	TERM. SAO MATEUS	
32932	352A-10-1	JD. HELENA	
33516	3539-10-1	CIDADE TIRADENTES	
748	3539-10-0	TERM. PQ.D. PEDRO II	
749	3539-21-0	TERM. PQ. D.PEDRO II	
33517	3539-21-1	TERM. CID.TIRADENTES	
34243	3539-31-1	CIDADE TIRADENTES	
1475	3539-31-0	TERM. PQ.D.PEDRO II	
750	3539-51-0	TERM. PQ. D.PEDRO II	
33518	3539-51-1	CIDADE TIRADENTES	
34387	354M-10-1	TERM. SÃO MIGUEL	
1619	354M-10-0	TERM. SÃO MATEUS	
147	3574-10-0	TERM. PQ. D.PEDRO II	
32915	3574-10-1	JD. ETELVINA	
32916	3574-25-1	METRO BRESSER	
148	3574-25-0	JD. ETELVINA	
1474	3574-31-0	TERM. PQ. D.PEDRO II	
34242	3574-31-1	JD. ETELVINA	
32917	3574-41-1	VILA TAQUARI	
149	3574-41-0	TERM. PQ. D.PEDRO II	
1246	364A-10-0	SHOP. C. L. ARICANDUVA	
34014	364A-10-1	HOSPITAL IPIRANGA	
2034	364A-21-0	METRO VILA PRUDENTE	
34802	364A-21-1	COHAB TEOTONIO VILELA	
32934	3686-10-1	JD. SAO PAULO	
166	3686-10-0	TERM. PQ. D.PEDRO II	
167	3686-43-0	TERM. PQ. D.PEDRO II	
32935	3686-43-1	XV DE NOVEMBRO	
33519	3701-10-1	JD. DA CONQUISTA	
751	3701-10-0	METRÔ BELÉM	
1007	3703-10-0	METRO CARRAO	
33775	3703-10-1	JD. NOVA VITORIA	
33776	3707-10-1	JD. SAO FRANCISCO	
1008	3707-10-0	METRO ITAQUERA	
1009	3712-10-0	METRO ITAQUERA	
33777	3712-10-1	JD. SAO JOAO	
33779	3712-41-1	JD. SAO PEDRO	
1011	3712-41-0	METRO ITAQUERA	
1013	3718-10-0	NOVA AMERICA	
33781	3718-10-1	METRO ARTUR ALVIM	
33523	3720-10-1	CIDADE TIRADENTES	
755	3720-10-0	METRÔ TATUAPÉ	
1740	3720-31-0	METRÔ TATUAPÉ	
34508	3720-31-1	CIDADE TIRADENTES	
33787	3721-10-1	SHOP.C.L. ARICANDUVA	
1019	3721-10-0	METRO ARTUR ALVIM	
1693	3721-41-0	METRÔ ITAQUERA	
34461	3721-41-1	SHOP.C.L. ARICANDUVA	
33788	3722-10-1	COHAB JOSE BONIFACIO	
1020	3722-10-0	METRO PENHA	
1022	3725-10-0	VILA DALILA	
33790	3725-10-1	METRO VILA MATILDE	
34299	3725-41-1	METRO VILA MATILDE	
1531	3725-41-0	VILA ARICANDUVA	
1025	3728-10-0	PQ. SAVOY CITY	
33793	3728-10-1	METRO ARTUR ALVIM	
1988	3728-41-0	PQ. NOVA SAVOY	
34756	3728-41-1	METRO ARTUR ALVIM	
1026	3729-10-0	METRO CARRAO	
33794	3729-10-1	SHOP. ARICANDUVA	
33783	372F-10-1	UNIV. SÃO JUDAS TADEU	
1015	372F-10-0	METRÔ BRESSER	
753	372R-10-0	METRÔ BELÉM	
33521	372R-10-1	PQ. SÃO RAFAEL	
33784	372U-10-1	VILA SANTA ISABEL	
1016	372U-10-0	METRO TATUAPE	
1028	3731-10-0	METRO VILA MATILDE	
33796	3731-10-1	SHOP. ARICANDUVA	
33797	3732-10-1	ESTAÇÃO JOSÉ BONIFÁCIO	
1029	3732-10-0	METRO ITAQUERA	
1034	3734-10-0	METRO ARTUR ALVIM	
33802	3734-10-1	CIDADE LIDER	
33803	3735-10-1	METRO ARTUR ALVIM	
1035	3735-10-0	JD. SAO JOAO 	
1705	3735-21-0	JD. SAO JOAO	
34473	3735-21-1	METRO ARTUR ALVIM	
1920	3735-41-0	METRÔ ARTUR ALVIM	
34688	3735-41-1	JD. SÃO JOSÉ	
1036	3736-10-0	METRÔ ARTUR ALVIM	
33804	3736-10-1	JD. NSA. SRA. DO CARMO	
33805	3737-10-1	SHOP. ARICANDUVA	
1037	3737-10-0	METRO GUILHER/ESPER.	
1353	3737-21-0	METRO GUILHER/ESPER.	
34121	3737-21-1	JD. SANTA MARIA	
34122	3737-31-1	METRÔ GUILHERMINA 	
1354	3737-31-0	CIRCULAR	
1355	3737-41-0	JD. FERNANDES	
34123	3737-41-1	METRO GUILHER/ESPER.	
33806	3738-10-1	COHAB JUSCELINO	
1038	3738-10-0	METRO ITAQUERA	
1931	3738-21-0	METRO ITAQUERA	
34699	3738-21-1	COHAB JUSCELINO	
1039	3739-10-0	METRO ITAQUERA	
33807	3739-10-1	RECANTO VERDE SOL	
1962	3739-31-0	CENTRO DE ITAQUERA	
34730	3739-31-1	SÃO TEODORO	
1027	373L-10-0	METRO ITAQUERA	
33795	373L-10-1	JD. LIMOEIRO	
33049	373M-10-1	JD. GUAIRACA	
281	373M-10-0	SHOP. METRO TATUAPE	
1091	373T-10-0	METRO BRESSER	
33859	373T-10-1	JD. ITAPOLIS	
33809	3741-10-1	ESTAÇÃO DOM BOSCO	
1041	3741-10-0	METRO ITAQUERA	
1042	3742-10-0	METRO ITAQUERA	
33810	3742-10-1	JARDIM  LARANJEIRA	
33811	3743-10-1	SAO MATEUS	
1043	3743-10-0	METRO ITAQUERA	
1044	3745-10-0	TATUAPÉ	
33812	3745-10-1	JD. IMPERADOR	
33051	3746-10-1	JD. IMPERADOR	
283	3746-10-0	METRO BELEM	
2097	3746-31-0	METRO BELEM	
34865	3746-31-1	JD. IMPERADOR	
33026	3749-10-1	GUAIANAZES	
258	3749-10-0	TERM. VILA CARRAO	
1965	374M-10-0	METRÔ ITAQUERA	
34733	374M-10-1	CPTM ERMELINO MATARAZZO	
756	374T-10-0	METRÔ VERGUEIRO	
33524	374T-10-1	CIDADE TIRADENTES	
33525	374T-21-1	TERM. CID.TIRADENTES	
757	374T-21-0	MUSEU DO IPIRANGA	
758	374T-22-0	TERM.CID. TIRADENTES	
33526	374T-22-1	IPIRANGA	
34415	374V-10-1	VILA VERDE	
1647	374V-10-0	METRO ITAQUERA	
1046	3750-10-0	METRO BELEM	
33814	3750-10-1	CONJ. JOSE BONIFACIO	
33815	3751-10-1	COHAB PRESTES MAIA	
1047	3751-10-0	METRO ITAQUERA	
1048	3751-21-0	METRO ITAQUERA	
33816	3751-21-1	COHAB PRESTES MAIA	
33817	3754-10-1	INACIO MONTEIRO	
1049	3754-10-0	METRO ITAQUERA	
1532	3754-31-0	METRO ITAQUERA	
34300	3754-31-1	JARDIM REDIL	
33818	3756-10-1	BARRO BRANCO	
1050	3756-10-0	METRO ITAQUERA	
1961	3756-21-0	METRO ITAQUERA	
34729	3756-21-1	V. COSMOPOLITA	
314	375N-10-0	METRO ANA ROSA	
33082	375N-10-1	METRO BRESSER	
33053	375V-10-1	METRO TAMANDUATEI	
285	375V-10-0	METRO SANTA CRUZ	
760	3760-10-0	METRÔ TATUAPÉ	
33528	3760-10-1	JARDIM CIBELE	
34179	3760-42-1	JD. N. SRA. DO CARMO	
1411	3760-42-0	METRÔ TATUAPÉ	
1051	3761-10-0	METRO CARRAO	
33819	3761-10-1	3A. DIVISAO	
33821	3762-10-1	JARDIM IVA	
1053	3762-10-0	METRO TATUAPE	
1054	3763-10-0	METRO TATUAPE	
33822	3763-10-1	TERM. VILA CARRAO	
33529	3764-10-1	JD. VILA CARRÃO	
761	3764-10-0	METRÔ TATUAPÉ	
2025	3764-21-0	METRÔ TATUAPÉ	
34793	3764-21-1	SANTA BARBARA	
33530	3765-10-1	JD. SANTO ANDRE	
762	3765-10-0	METRO CARRAO	
1055	3766-10-0	METRO ITAQUERA	
33823	3766-10-1	COHAB II	
33824	3768-10-1	VILA YOLANDA	
1056	3768-10-0	METRO ITAQUERA	
1059	3773-10-0	METRO CARRAO	
33827	3773-10-1	RES. SANTA BARBARA	
33828	3774-10-1	JD. SOARES	
1060	3774-10-0	METRO TATUAPE	
763	3775-10-0	METRÔ CARRÃO	
33531	3775-10-1	JD. RODOLFO PIRANI	
34180	3775-51-1	JD. RODOLFO PIRANI	
1412	3775-51-0	METRÔ CARRÃO	
1062	3778-10-0	METRO CARRAO	
33830	3778-10-1	JD. SANTA TEREZINHA	
33532	3781-10-1	CIDADE TIRADENTES	
764	3781-10-0	METRÔ PENHA	
1063	3785-10-0	METRO ITAQUERA	
33831	3785-10-1	COHAB BARRO BRANCO	
33833	3786-10-1	CIDADE TIRADENTES	
1065	3786-10-0	METRO ITAQUERA	
1612	3787-10-0	METRO ITAQUERA	
34380	3787-10-1	CID. TIRADENTES	
33835	3789-10-1	CID. TIRADENTES	
1067	3789-10-0	METRO ITAQUERA	
1068	3790-10-0	METRO GUILHERM/ESPER	
33836	3790-10-1	BARRO BRANCO	
33837	3791-10-1	SHOPPING ARICANDUVA	
1069	3791-10-0	METRO ARTUR ALVIM	
1071	3793-10-0	METRO PENHA	
33839	3793-10-1	CID. TIRADENTES	
33841	3795-10-1	JD. SAO CARLOS	
1073	3795-10-0	METRO ITAQUERA	
1718	3795-21-0	METRÔ ITAQUERA	
34486	3795-21-1	COHAB FAZENDA DO CARMO	
33842	3796-10-1	GLEBA DO PESSEGO	
1074	3796-10-0	METRO ITAQUERA	
1469	3901-10-0	METRO PENHA	
34237	3901-10-1	JD. DANFER	
34238	3902-10-1	Estação CPTM JD. ROMANO	
1470	3902-10-0	GUAIANAZES	
1471	3903-10-0	PENHA	
34239	3903-10-1	JD. VILA NOVA	
34650	390E-10-1	TERM. PENHA	
1882	390E-10-0	TERM. PQ. D. PEDRO II	
165	393C-10-0	COHAB II (CIRCULAR)	
32933	393C-10-1	TERM. AMARAL GURGEL	
33533	393H-10-1	TERMINAL AMARAL GURGEL	
765	393H-10-0	JD. STO ANDRÉ	
1095	4025-10-0	METRÔ TATUAPÉ	
33863	4025-10-1	VILA CALIFÓRNIA	
33865	4027-10-1	HOSP. SAO MATEUS	
1097	4027-10-0	JD. SANTO ANDRE	
1098	4028-10-0	DIVISA DE MAUA	
33866	4028-10-1	HOSP. SAO MATEUS	
33867	4029-10-1	SAO MATEUS	
1099	4029-10-0	VILA PRUDENTE	
1100	4030-10-0	SHOP. ARICANDUVA	
33868	4030-10-1	FAZENDA DA JUTA	
33869	4031-10-1	PQ. SANTA MADALENA	
1101	4031-10-0	METRO TAMANDUATEI	
1102	4032-10-0	OBJETIVO UNIP	
33870	4032-10-1	VILA DAS MERCES	
33871	4033-10-1	JD. GUAIRACÁ	
1103	4033-10-0	NOVA CONQUISTA	
34918	4034-10-1	EST. JOSÉ BONIFÁCIO	
2150	4034-10-0	METRÔ CARRÃO	
2122	4044-10-0	CERET	
34890	4044-10-1	TERM. VILA CARRÃO	
2144	4051-10-0	CPTM GUAIANAZES	
34912	4051-10-1	JD. SÃO PAULO	
34913	4052-10-1	CPTM GUAIANAZES	
2145	4052-10-0	METRÔ ITAQUERA	
2146	4053-10-0	CPTM JOSÉ BONIFÁCIO	
34914	4053-10-1	GUAIANAZES	
34915	4054-10-1	JD. NSA. DO CARMO	
2147	4054-10-0	METRÔ ITAQUERA	
318	407M-10-0	VILA MADALENA	
33086	407M-10-1	VILA MONUMENTO	
34924	4085-10-1	COHAB FAZENDA DO CARMO	
2156	4085-10-0	METRÔ ITAQUERA	
766	408A-10-0	CARDOSO DE ALMEIDA	
33534	408A-10-1	MACHADO DE ASSIS	
1876	4092-10-0	SETOR IIB	
34644	4092-10-1	TERM. CID. TIRADENTES	
320	4111-10-0	PCA. DA REPUBLICA	
33088	4111-10-1	VILA MONUMENTO	
33535	4112-10-1	STA. MARGARIDA MARIA	
767	4112-10-0	PCA. DA REPÚBLICA	
768	4113-10-0	PCA. DA REPÚBLICA	
33536	4113-10-1	GENTIL DE MOURA	
33089	4114-10-1	VILA GUMERCINDO	
321	4114-10-0	TERM. PQ. D.PEDRO II	
1534	4114-31-0	TERM. PQ. D.PEDRO II	
34302	4114-31-1	VILA GUMERCINDO	
33090	4115-10-1	SHOP. PLAZA SUL	
322	4115-10-0	PCA. DA REPUBLICA	
1946	4120-10-0	TERM. PQ. D.PEDRO II	
34714	4120-10-1	BARRO BRANCO II	
1105	414P-10-0	PENHA	
33873	414P-10-1	VILA INDUSTRIAL	
33844	4208-10-1	PQ. SAVOY CITY	
1076	4208-10-0	METRÔ V. PRUDENTE	
325	4221-10-0	TERM. PQ. D.PEDRO II	
33093	4221-10-1	JD. PLANALTO	
33056	4222-10-1	PQ. SANTA MADALENA	
288	4222-10-0	PCA JOAO MENDES	
1636	425E-10-0	TERM. SAPOPEMBA/TEOTONIO VILELA	
34404	425E-10-1	JD. ESTER	
33057	4284-10-1	VILA CALIFORNIA	
289	4284-10-0	TERM. PQ. D.PEDRO II	
326	4286-10-0	TERM. CORREIO	
33094	4286-10-1	VILA INDUSTRIAL	
33058	4288-10-1	PQ. SANTA MADALENA	
290	4288-10-0	TERM. PQ. D.PEDRO II	
1874	4301-10-0	PÇA. DA SÉ	
34642	4301-10-1	COHAB II	
2154	4339-10-0	TERM. PQ.D.PEDRO II	
34922	4339-10-1	CIDADE TIRADENTES	
34923	4339-51-1	CIDADE TIRADENTES	
2155	4339-51-0	TERM. CIDADE TIRADENTES	
2061	4401-10-0	Jd. Nova Vitória-Circular	
34829	4401-10-1		
33095	4491-10-1	ZOOLOGICO	
327	4491-10-0	TERM. PQ. D.PEDRO II	
299	4706-10-0	METRO VILA MARIANA	
33067	4706-10-1	JD. MARIA ESTELA II	
33100	4708-10-1	JD. CLIMAX	
332	4708-10-0	METRO VILA MARIANA	
333	4709-10-0	METRO VILA MARIANA	
33101	4709-10-1	PQ. BRISTOL	
33102	4714-10-1	JD. SAO SAVERIO	
334	4714-10-0	METRO SANTA CRUZ	
1106	4716-10-0	METRO SANTA CRUZ	
33874	4716-10-1	SACOMA	
33103	4717-10-1	JD. MARIA ESTELA	
335	4717-10-0	METRO SANTA CRUZ	
336	4718-10-0	METRO SANTA CRUZ	
33104	4718-10-1	JD. CELESTE	
33105	4721-10-1	SHOP. PLAZA SUL	
337	4721-10-0	TERM. JABAQUARA	
2059	4723-10-0	JD. HERCÍLIA	
34827	4723-10-1	METRÔ PATRIARCA	
34828	4724-10-1	METRO PATRIARCA	
2060	4724-10-0	V. NHOCUNE	
33106	4725-10-1	VILA BRASILINA	
338	4725-10-0	SHOP. C.IBIRAPUERA	
1680	4726-10-0	METRO TATUAPE	
34448	4726-10-1	MOOCA	
2120	4726-31-0	METRO TATUAPE	
34888	4726-31-1	MOOCA	
340	4727-10-0	METRO PCA. DA ARVORE	
33108	4727-10-1	JD. CLIMAX	
33876	4729-10-1	PARQUE BANCARIO	
1108	4729-10-0	METRO BELEM	
302	4732-10-0	METRO SAUDE	
33070	4732-10-1	VILA LIVIERO	
34895	4732-31-1	VILA LIVIERO	
2127	4732-31-0	METRO SAUDE	
1109	4734-10-0	METRO SAUDE	
33877	4734-10-1	VILA MORAES	
34632	4734-21-1	VILA MORAES	
1864	4734-21-0	METRO SAUDE	
1110	4735-10-0	METRO CARRAO	
33878	4735-10-1	JD. VERA CRUZ 	
33109	473T-10-1	METRO VILA MARIANA	
341	473T-10-0	PQ. SAO JORGE	
342	4742-10-0	METRO SAO JUDAS	
33110	4742-10-1	JD. CLIMAX	
34480	4742-21-1	JD. SAO SAVERIO	
1712	4742-21-0	METRO SAO JUDAS	
1713	4742-31-0	METRO SÃO JUDAS	
34481	4742-31-1	JD. CELESTE	
33111	475M-10-1	JD. DA SAUDE	
343	475M-10-0	TERM. AMARAL GURGEL	
344	475R-10-0	TERM. PQ. D.PEDRO II	
33112	475R-10-1	JD. SAO SAVERIO	
1880	475R-41-0	METRO SAUDE	
34648	475R-41-1	SIMBA SAFARI	
304	476A-10-0	TERMINAL SANTO AMARO	
33072	476A-10-1	IPIRANGA	
33879	476G-10-1	JARDIM ELBA	
1111	476G-10-0	IBIRAPUERA	
1112	476G-41-0	METRO ANA ROSA	
33880	476G-41-1	VILA INDUSTRIAL	
33030	476L-10-1	LAR ESCOLA SAO FCO.	
262	476L-10-0	CIRCULAR	
346	477A-10-0	CEASA	
33114	477A-10-1	SACOMA	
33116	477P-10-1	IPIRANGA	
348	477P-10-0	RIO PEQUENO	
306	477U-10-0	SHOP. IGUATEMI (CIRCULAR)	
33074	477U-10-1	HELIÓPOLIS	
33117	478P-10-1	SACOMA	
349	478P-10-0	POMPEIA	
350	478P-31-0	POMPEIA	
33118	478P-31-1	SACOMA	
33882	5010-10-1	JABAQUARA	
1114	5010-10-0	SANTO AMARO	
1115	5011-10-0	SANTO AMARO	
33883	5011-10-1	ELDORADO	
33884	5012-10-1	VILA GUACURI	
1116	5012-10-0	JABAQUARA	
2121	5012-21-0	JABAQUARA	
34889	5012-21-1	JD. MONTE LÍBANO	
1117	5013-10-0	SANTO AMARO	
33885	5013-10-1	JD. LUSO	
33886	5014-10-1	VILA GUACURI	
1118	5014-10-0	SANTO AMARO	
1119	5015-10-0	METRÔ  JABAQUARA	
33887	5015-10-1	JD. SAO JORGE	
34260	5018-10-1	SHOPPING INTERLAGOS	
1492	5018-10-0	JABAQUARA	
1861	5018-31-0	JABAQUARA	
34629	5018-31-1	SHOPPING INTERLAGOS	
34438	5020-10-1	HOSPITAL HELIOPOLIS	
1670	5020-10-0	TERM. SACOMA	
1667	5021-10-0	TERM. SACOMA	
34435	5021-10-1	AGUA FUNDA	
33888	5022-10-1	VILA STA. MARGARIDA	
1120	5022-10-0	JABAQUARA	
1122	5024-10-0	SANTO AMARO	
33890	5024-10-1	 MISSIONARIA	
33891	5024-31-1	 MISSIONARIA	
1123	5024-31-0	SANTO AMARO	
1635	5026-10-0	JD. SAO ROBERTO 	
34403	5026-10-1	CONJ. TEOTONIO VILELA	
34402	5028-10-1	CONJ. HAB. HELIOPOLIS	
1634	5028-10-0	MUSEU DO IPIRANGA 	
1672	5029-10-0	TERM. SACOMA 	
34440	5029-10-1	JD. PATENTE	
34043	502J-10-1	ESTAÇÃO AUTÓDROMO	
1275	502J-10-0	METRÔ SANTA CRUZ (CIRCULAR)	
2106	502J-21-0	VILA JOANIZA	
34874	502J-21-1	ESTAÇÃO AUTÓDROMO	
34875	502J-22-1	ESTAÇÃO AUTÓDROMO	
2107	502J-22-0	VILA JOANIZA (CIRCULAR)	
34437	5030-10-1	JD. MARIA ESTELA	
1669	5030-10-0	TERM. SACOMA	
1746	5031-10-0	TERM. SACOMA	
34514	5031-10-1	VILA ARAPUA	
34515	5031-21-1	VILA CDE. DO PINHAL	
1747	5031-21-0	TERM. SACOMA	
1662	5032-10-0	TERM. SACOMA	
34430	5032-10-1	VILA ARAPUA	
34433	5033-10-1	VILA BRASILINA	
1665	5033-10-0	TERM. SACOMA	
